city,long,lat
Green Bluff,47.82,-117.28
Greenwater,47.15,-121.63
Hamilton town,48.53,-121.98
Hansville,47.92,-122.57
Harrah town,46.41,-120.54
Harrington city,47.48,-118.26
Hartline town,47.69,-119.11
Hat Island,48.01,-122.32
Hatton town,46.77,-118.83
Hazel Dell,45.68,-122.66
Herron Island,47.26,-122.83
High Bridge,47.8,-122.03
Hobart,47.41,-122
Hockinson,45.73,-122.48
Hogans Corner,47.04,-124.16
Home,47.28,-122.77
Hoodsport,47.4,-123.15
Hoquiam city,46.98,-123.9
Humptulips,47.25,-123.93
Hunts Point town,47.64,-122.23
Ilwaco city,46.3,-124.02
Inchelium,48.34,-118.24
Index town,47.82,-121.56
Indianola,47.75,-122.51
Inglewood-Finn Hill,47.72,-122.23
Ione town,48.74,-117.42
Issaquah city,47.54,-122.04
Jamestown,48.12,-123.09
Junction City,46.97,-123.77
Kahlotus city,46.64,-118.56
Kalama city,46.01,-122.84
Kapowsin,46.97,-122.23
Keller,48.09,-118.72
Kelso city,46.12,-122.89
Kendall,48.92,-122.14
Kenmore city,47.75,-122.25
Kennewick city,46.2,-119.17
Kent city,47.38,-122.22
Ketron Island,47.16,-122.63
Kettle Falls city,48.61,-118.06
Key Center,47.34,-122.75
Keyport,47.7,-122.62
Kingsgate,47.73,-122.17
Kingston,47.8,-122.5
Kirkland city,47.69,-122.19
Kittitas city,46.99,-120.42
Klahanie,47.57,-122.01
Klickitat,45.82,-121.16
Krupp town,47.41,-118.99
La Center city,45.87,-122.67
La Conner town,48.39,-122.49
La Grande,46.82,-122.3
Lacey city,47.04,-122.79
LaCrosse town,46.8,-117.9
Lake Bosworth,48.05,-121.98
Lake Cassidy,48.06,-122.09
Lake Cavanaugh,48.32,-122.01
Lake Forest Park city,47.76,-122.29
Lake Holm,47.3,-122.13
Lake Ketchum,48.28,-122.35
Lake Marcel-Stillwater,47.69,-121.92
Lake McMurray,48.31,-122.23
Lake Morton-Berrydale,47.33,-122.1
